Item_Id,Playtime_Forever_Hours,Year_Launch,Genres
10,293487,2000,"1990s, Team-Based, Multiplayer,  Shooter, First-Person,  Survival,  PvP, Tower Defense, Classic,  Competitive,  Tactical, Military, FPS, Strategy, Action"
20,17795,1999,"1990s, Casual, Team-Based, Multiplayer, Fast-Paced, Shooter, Online Co-Op, First-Person, Story Rich, Remake, Classic, Funny, Retro, Competitive,  Co-op, FPS, Adventure, Action"
30,13520,2003,"Multiplayer, Shooter, War,  Historical, Co-op, Tactical, First-Person, Military, FPS, Classic, Team-Based, Singleplayer, Action, I"
40,3076,2001,"Multiplayer, Shooter, First-Person, Sci-fi, FPS, Classic, Action"
50,13288,1999,"Story Rich, Shooter, Puzzle,  Great Soundtrack, Co-op, Sci-fi, Singleplayer, FPS, Classic, First-Person, 1990s, Adventure, Action, Military, Atmospheric, Aliens"
60,3389,2000,"Multiplayer, Platformer, Cyberpunk, Shooter, Memes, Space, First-Person, Sci-fi, FPS, Classic,  Horror, Action"
70,47688,1998,"1990s, Multiplayer, Shooter, First-Person, Atmospheric, Difficult, Story Rich,  Great Soundtrack, Singleplayer, Classic,  Funny, Retro, dable, Sci-fi, FPS, Adventure, Action, Aliens"
80,44029,2004,"Horror, Dark, Team-Based, Multiplayer, Shooter, Online Co-Op, First-Person, Open World, Atmospheric, Survival, Simulation, Singleplayer, Classic, Competitive, Strategy, Tactical, Military, FPS, Adventure, Action"
130,8416,2001,"Story Rich, Shooter, Puzzle,  Zombies, Sci-fi, Singleplayer, FPS, First-Person, Classic, Short, Adventure, Action, 1990s, Atmospheric, Aliens"
220,188789,2004,"Horror, Multiplayer,  Shooter, First-Person, Puzzle, Atmospheric, Story Rich,  Great Soundtrack, Singleplayer, Classic, Zombies, dable, Physics, Sci-fi, FPS, Adventure, Action, Aliens"
240,1888361,2004,"Team-Based, Multiplayer, Shooter, First-Person, Atmospheric, Survival, PvP,  Difficult, War, Simulation, Singleplayer, Sandbox, Competitive, dable, Tactical, Military, FPS, Strategy, Action"
280,9285,2004,"Horror, 1990s, Multiplayer, Shooter, First-Person, Atmospheric, Story Rich, Remake,  Great Soundtrack, Singleplayer, Classic, Zombies, dable, Co-op, Sci-fi, FPS, Adventure, Action, Aliens"
300,104328,2010,"Massively Multiplayer, Historical, Team-Based, Multiplayer, Realistic, Shooter, Online Co-Op, First-Person, Comedy, Gore, War, Simulation, Classic,  Tactical, Military, FPS, Strategy, Action, I"
320,50747,2004,"Multiplayer, Funny, Shooter, Competitive, Physics, Co-op, Sci-fi, First-Person, FPS, Adventure, Action, Atmospheric"
340,9979,2005,"Multiplayer, Futuristic,  Shooter, Free to Play, First-Person, Atmospheric, Post-apocalyptic,  Great Soundtrack, Singleplayer, Short, Classic,  Sci-fi, FPS, Adventure, Action, Aliens"
360,2826,2006,"Multiplayer, Shooter, Remake, Sci-fi, First-Person, FPS, Classic, Action"
380,36847,2006,"Shooter,  First-Person, Puzzle, Atmospheric, Story Rich,  Great Soundtrack, Singleplayer, Short, Classic,  Zombies, dable, Sci-fi, FPS, Adventure, Action, Aliens"
400,95070,2007,"First-Person, Comedy, Puzzle, Atmospheric, Story Rich, Female Protagonist, Platformer, Great Soundtrack, Singleplayer, Short, Classic, Funny, Dark Humor, Physics, Strategy, Sci-fi, FPS, Adventure, Action"
420,46518,2007,"Horror, Multiplayer,  Shooter, First-Person, Puzzle, Atmospheric, Post-apocalyptic, Story Rich,  Great Soundtrack, Singleplayer, Classic,  Zombies, Sci-fi, FPS, Adventure, Action, Aliens"
500,220649,2008,"Horror, Team-Based, Multiplayer, Shooter, Online Co-Op, First-Person, Atmospheric, Post-apocalyptic, Survival, Female Protagonist, Replay Value, Singleplayer, Competitive, Zombies, dable, Co-op, Tactical, FPS, Adventure, Action"
550,1720669,2009,"Survival Horror, Horror, Team-Based, Multiplayer, Local Co-Op, Shooter, Online Co-Op, First-Person, Gore, Post-apocalyptic, Survival, Replay Value, Singleplayer, Zombies, dable, Co-op, Tactical, FPS, Adventure, Action"
620,452022,2011,"Multiplayer, Local Co-Op, Online Co-Op, First-Person, Comedy, Puzzle, Atmospheric, Story Rich, Female Protagonist, Platformer, Adventure, Space, Singleplayer, Funny, Co-op, Sci-fi, FPS, Strategy, Action"
730,13107773,2012,"Team-Based, Multiplayer, Fast-Paced, Realistic, Shooter, Online Co-Op, First-Person,  PvP, Difficult, War, Competitive, dable, Tactical, Co-op, Military, FPS, Strategy, Action"
1002,32,2005,"Multiplayer, Fighting, Indie"
1200,5037,2006,"Realistic, Multiplayer, Shooter, War, Historical, Tactical, Simulation, Singleplayer, Military, FPS, Classic, Team-Based, Strategy, Action, I, Atmospheric"
1230,481,2008,"Realistic, Multiplayer,  Free to Play, FPS, Action, I"
1250,506548,2009,"Survival Horror, Horror, Team-Based, Multiplayer, Shooter, Online Co-Op, First-Person, Comedy, Gore, Survival, Difficult, Great Soundtrack, Singleplayer, Zombies, dable,  Co-op, FPS, Adventure, Action"
1280,4690,2009,"Realistic, Multiplayer, Shooter, War,  Free to Play, Historical, Tactical, Simulation, FPS, Action, I"
1300,218,2006,"Cyberpunk, Shooter, Sci-fi, Singleplayer, FPS, Classic, First-Person, Short, Action"
1500,1515,2005,"Story Rich, Retro, Singleplayer, Top-Down, RTS, Strategy, Action, Indie"
1510,3663,2006,"2D,  Story Rich, Cyberpunk, Perma Death, Great Soundtrack,  Simulation, Singleplayer, Sci-fi, Indie, Classic, Strategy,  Atmospheric"
1520,4635,2006,"2D,  , War, Great Soundtrack,  Tactical, Simulation, Singleplayer,  Horror,  RTS, Strategy, Multiplayer, Indie, Atmospheric"
1530,1120,2008,"Retro, Singleplayer, RTS, Strategy, Multiplayer, Indie"
1600,146,2006,"Strategy, Simulation"
1610,463,2006,"Turn-Based, Space, Sci-fi, Singleplayer, 4X, Strategy, Turn-Based Strategy"
1630,384,2006,"RPG, Fantasy, Turn-Based, Dark Fantasy, Classic, Strategy, Turn-Based Strategy, Atmospheric"
1640,512,2006,"RPG, Fantasy, Isometric, Turn-Based, Great Soundtrack, Tactical,  Classic, Strategy, Multiplayer, Turn-Based Strategy, Dark Fantasy, Atmospheric"
1670,111,2006,"Strategy, Simulation, Military"
1690,1689,2006,"Turn-Based, Space, Sci-fi, Singleplayer, 4X, Strategy, Multiplayer, Turn-Based Strategy"
1700,387,2002,"RPG, Fantasy, Story Rich,  Exploration, First-Person, Singleplayer, Classic, Adventure, Action, Dark Fantasy, Atmospheric"
1900,1313,2006,"Futuristic, Sci-fi, Singleplayer, RTS, Strategy, Multiplayer"
1930,3109,2009,"RPG, Fantasy, Action, Medieval, Story Rich, Third Person, Action RPG, Character Customization, Singleplayer, Open World, Adventure, Multiplayer"
2100,7658,2006,"Medieval, Action RPG, Magic, Multiplayer, RPG,  First-Person, Gore, Atmospheric, Fantasy, Story Rich, Multiple Endings, Singleplayer, Classic, Dark Fantasy, FPS, Adventure, Action, Hack and Slash, Stealth"
2200,1672,1999,", Multiplayer, Difficult, Fast-Paced, Shooter, Competitive, dable, 1990s, First-Person, FPS, Classic, Sci-fi, Singleplayer, Action, Atmospheric, Gore"
2210,1455,2005,"Multiplayer, Fast-Paced, Shooter, Horror, Dark, Sci-fi, Singleplayer, FPS, Classic, First-Person, Adventure, Action, Atmospheric, Gore"
2270,987,1994,"Retro, Shooter, dable, Pixel Graphics, Singleplayer, First-Person, FPS, Classic, 1990s, Action,  I"
2280,1766,1995,"Horror, 1990s,  Fast-Paced, Multiplayer, Shooter, First-Person, Gore, Difficult, Great Soundtrack, Singleplayer, Classic,  Violent, Retro, dable, Zombies, Sci-fi, FPS, Action"
2290,594,1996,"Horror, 1990s,  Multiplayer, Shooter, Online Co-Op, First-Person, Atmospheric, Gore, Difficult, Great Soundtrack, Singleplayer, Classic, Retro, dable, Zombies, Sci-fi, FPS, Action"
2300,1543,1994,"Horror, 1990s,  Multiplayer, Shooter, Online Co-Op, First-Person, Gore, Great Soundtrack, Singleplayer, Classic,  Violent, Retro, dable, Zombies, Pixel Graphics, Sci-fi, FPS, Action"
2310,2003,2007,"Horror, 1990s, Multiplayer, Fast-Paced, Shooter, First-Person, Lovecraftian, Atmospheric, Gore, Great Soundtrack, Singleplayer, Classic, Retro, Competitive, dable, Co-op, Sci-fi, FPS, Adventure, Action"
2320,1424,1997,"Horror, 1990s, Multiplayer, Fast-Paced, Shooter, First-Person, Atmospheric,  Gore, Great Soundtrack, Singleplayer, Classic, Retro, dable, Co-op, Sci-fi, FPS, Action, Aliens"
2330,73,1998,"Shooter, Action, FPS, Classic"
2340,79,1998,"Shooter, Action, FPS, Classic"
2350,322,2000,"Multiplayer, Fast-Paced, Shooter, Competitive, FPS, Classic, Action"
2360,201,1995,"RPG, Fantasy, Retro, Shooter,  1990s, Singleplayer, FPS, Classic, Action, Dark Fantasy"
2370,59,1996,"Fantasy, Shooter, FPS, Classic, Action"
2390,241,2007,"Fantasy, Shooter, Retro, 1990s, First-Person, FPS, Classic, Singleplayer, Action, Dark Fantasy"
2400,20334,2006,"Mystery, Multiplayer,  RPG, Shooter, First-Person, Comedy, Survival, Difficult, Replay Value, Simulation, Singleplayer, Stylized, Funny, Strategy, FPS, Adventure, Action, Indie, Stealth"
2420,4469,2006,"RPG, Singleplayer, FPS, Action, Indie"
2450,3075,2010,"Multiplayer, Funny, Shooter, First-Person, FPS, Comedy, Action, Gore"
2500,1945,2006,"Local Co-Op, Shooter, Horror, Adventure, Co-op, Sci-fi, Singleplayer, Top-Down, Gore, Isometric, Action, Top-Down Shooter, Aliens"
2520,68,2006,"Casual, Singleplayer, Indie"
2540,214,2007,"2D, Shooter, Casual, Singleplayer, Top-Down, Arcade, Action, Indie"
2570,89,2007,"RPG, Puzzle, Singleplayer, Indie"
2590,409,2007,"Difficult, Shooter, Space, First-Person, Sci-fi, FPS, Singleplayer, Action"
2600,10693,2004,"Horror, Dark, Action RPG,  RPG,  First-Person,  Atmospheric, Story Rich, Female Protagonist, Great Soundtrack, Singleplayer, Classic, Cult Classic, Third Person, FPS, Adventure, Action, Stealth"
2610,464,2005,"Story Rich, Shooter, Third Person, Great Soundtrack, Third-Person Shooter,  Open World, Classic, Singleplayer, Gore, Adventure, Action, Sandbox, Atmospheric"
2620,2334,2003,"Multiplayer, Story Rich, Shooter, War, Zombies, Historical, Singleplayer, First-Person, FPS, Classic, Military,  , Action, I, Atmospheric"
2630,7542,2005,"Multiplayer, Story Rich, Shooter, War, Zombies, Historical, Adventure, Co-op, Singleplayer, First-Person, FPS, Classic, Military, Strategy, Action, I, Atmospheric"
2640,1577,2004,"Multiplayer, Shooter, War, Historical, Singleplayer, Military, FPS, Classic, First-Person, Action, I, Atmospheric"
2700,16550,2006,"Funny, dable, Great Soundtrack, Economy, Family Friendly, Simulation, Singleplayer, Casual, Management, Classic, Comedy, Strategy, Multiplayer, Sandbox, Building"
2710,181,2005,"RTS, Strategy, Action"
2720,17,2007,"Space, Strategy, Action, Indie"
2780,352,2007,"Shooter, Tactical, Simulation, Military, FPS, Action"
2800,891,2003,", Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, Strategy, Action, Sandbox"
2810,1481,2005,", Flight, Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, Strategy, Action, Sandbox"
2820,11766,2008,", Multiplayer,  Flight, dable, Great Soundtrack, Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, 4X, Strategy, Action, Sandbox, Atmospheric"
2840,313,1999,", Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, Strategy, Action, Sandbox"
2850,64,2000,"Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, Strategy, Action, Sandbox"
2870,5449,2013,", dable, Adventure, Great Soundtrack, Economy, Space, Simulation, Sci-fi, Singleplayer, Open World, 4X, Exploration, Strategy, Action, Sandbox, Atmospheric"
2900,131,1997,"Strategy, Simulation"
2910,301,1999,"Strategy, Simulation"
2920,92,2001,"Strategy, Simulation"
2990,4786,2006,"Action, Funny, Great Soundtrack, Racing, Physics, Driving, Destruction, Singleplayer, Simulation, Casual, Classic, Comedy, Arcade, Multiplayer, Atmospheric, Music"
3010,122,2006,"Multiplayer, Racing"
3020,563,2007,"Multiplayer, Story Rich, Shooter, Stealth, Great Soundtrack, Singleplayer,  FPS, First-Person, Classic, Adventure, Action, Atmospheric"
3050,36,2006,Racing
3130,907,2009,"War, Historical, RTS, Strategy, I"
3170,2021,2009,"RPG, Fantasy, Female Protagonist, Turn-Based,  Adventure, Tactical, Singleplayer, Open World, Strategy, Turn-Based Strategy"
3230,98,2007,"Space, Strategy, Sci-fi, RTS"
3260,132,2006,"Point & Click, Casual, First-Person, Adventure, Puzzle"
3270,403,2007,"Multiplayer, Shooter, Horror, Singleplayer, First-Person, FPS, Action, Gore"
3300,488,2006,"Puzzle, Casual, Singleplayer, Match 3"
3310,172,2006,"Cute, Casual, Singleplayer, Puzzle, Match 3"
3320,912,2006,"Colorful,  Cute, Point & Click, Simulation, Casual, Singleplayer,  Classic, Anime, Strategy, Action, Aliens"
3330,505,2006,"Puzzle, Casual, Singleplayer, Match 3"
3340,43,2006,"Puzzle, Casual"
3350,124,2006,"Puzzle, Casual, Singleplayer, Match 3"
3360,154,2006,Casual
3380,308,2006,"Puzzle, Casual"
3390,465,2006,"Arcade, Casual, Singleplayer"
3400,42,2006,Casual
3410,101,2006,"Arcade, Action, Casual"
3420,18,2006,Casual
3430,82,2006,Casual
3440,77,2006,"Puzzle, Casual"
3450,423,2006,"Casual,  Education"
3460,156,2006,"Puzzle, Casual"
3480,4976,2007,"2D, Multiplayer, Physics, Casual, Singleplayer, Arcade, Puzzle"
3483,1061,2007,"Action, Puzzle, Casual, Free to Play"
3490,29,2007,Casual
3500,65,2007,"Hidden Object, Casual"
3510,70,2007,"Hidden Object, Casual"
3520,50,2008,"Hidden Object, Casual"
3530,57,2008,"Hidden Object, Puzzle, Casual"
3540,2983,2008,"2D, Puzzle, Casual, Singleplayer"
3560,844,2008,"Strategy, Puzzle, Casual, Match 3"
3570,16,2009,"Hidden Object, Casual"
3580,43,2008,"Hidden Object, Casual"
3590,59150,2009,"2D, Casual, Touch-Friendly, Cute, Comedy, Puzzle, Survival, Post-apocalyptic, Great Soundtrack, Tower Defense, Family Friendly, Singleplayer, Classic, Funny, Zombies, Strategy, Tactical, Adventure, Action, Indie"
3600,269,2009,"Hidden Object, Adventure, Puzzle, Casual"
3610,34,2009,"Hidden Object, Casual"
3620,1330,2009,"Action, Casual, Singleplayer, Puzzle, Match 3"
3700,3571,2005,"Multiplayer, Shooter, Third Person, War, Co-op, Third-Person Shooter, Singleplayer, FPS, Classic, Action, I, Stealth"
3710,399,2005,"Cyberpunk, Shooter,  First-Person, Singleplayer, FPS, Sci-fi, Classic, Action, Gore"
3720,7248,2004,",  Funny, Great Soundtrack, Base Building, Simulation, Singleplayer, Stylized, Comedy, Management, RTS, Strategy, Classic, Sandbox, Building"
3730,1719,2000,"Multiplayer, Fast-Paced, Horror, Shooter, Retro, Stealth, Sci-fi, First-Person, FPS, Classic, Singleplayer, Gore, Action, Atmospheric, Aliens"
3800,259,2005,"Story Rich, Great Soundtrack, Sci-fi, Singleplayer, Third-Person Shooter, Action"
3810,328,2003,"Female Protagonist, Horror, Third Person,  Singleplayer, Action, Hack and Slash, Gore"
3820,376,2005,"Female Protagonist, Horror, Third Person,  Singleplayer, Classic, Action, Hack and Slash, Gore"
3830,17697,2005,"Exploration, 3D Platformer, Surreal, Cute,  , Comedy, Story Rich, Platformer, Great Soundtrack, Singleplayer, y, Classic, Cult Classic, Action-Adventure, Funny, Third Person, Adventure, Action, Indie"
3900,12748,2005,"Replay Value, Resource Management, Turn-Based, War, dable, Grand Strategy, Historical, Great Soundtrack, Economy, Tactical, Simulation, Singleplayer, 4X, Classic, Strategy, Multiplayer, Turn-Based Strategy"
3910,8948,2001,"Replay Value, Turn-Based, Grand Strategy, Historical, Exploration, Simulation, Singleplayer, Military, Classic, 4X, Strategy, Multiplayer, Turn-Based Strategy"
3920,7703,2005,"Historical, Exploration, RPG, Open World, Atmospheric, Difficult,  Remake, Choose Your Own Adventure, Adventure, Singleplayer, Fighting, Classic, Sandbox,  , Economy, Strategy, Action"
3960,26,2005,"Strategy, Turn-Based Strategy"
3980,217,2006,"Strategy, Simulation,  City Builder"
3990,2478,2006,"Turn-Based, Historical, 4X, Strategy, Turn-Based Strategy"
