User_Id,Title,Year,Conteo
--000--,Killing Floor,2014,1
--ace--,Team Fortress 2,2014,1
--ace--,The Binding of Isaac,2014,1
--ionex--,Counter-Strike: Global Offensive,2016,1
--ionex--,Terraria,2015,1
-2SV-vuLB-Kg,Counter-Strike: Global Offensive,2014,1
-2SV-vuLB-Kg,Team Fortress 2,2014,1
-2SV-vuLB-Kg,XCOM: Enemy Unknown,2014,1
-Azsael-,Galactic Civilizations III,2016,1
-Beave-,Left 4 Dead 2,2014,1
-I_AM_EPIC-,Team Fortress 2,2014,1
-Kenny,Killing Floor,2013,1
-Mad-,BioShock Infinite,2013,1
-Mad-,Ricochet,2013,1
-PRoSlayeR-,Really Big Sky,2015,1
-SEVEN-,Assassin’s Creed® IV Black Flag™,2016,1
-SEVEN-,Counter-Strike: Global Offensive,2013,1
-SEVEN-,Depth,2016,1
-SEVEN-,Far Cry 3,2013,1
-SEVEN-,Grand Theft Auto V,2016,1
-SEVEN-,Rust,2016,1
-SatansLittleHelper-,Counter-Strike: Global Offensive,2015,1
-Ultrix,Half-Life,2014,1
-_PussyDestroyer_-,Contagion,2014,1
-_PussyDestroyer_-,Team Fortress 2,2014,1
-kainey9777,Counter-Strike: Global Offensive,2015,1
0-3-0,BioShock Infinite,2014,1
00000000000000000001227,Day of Defeat: Source,2016,1
00000000000000000001227,Garry's Mod,2016,1
00000000000000000001227,Half-Life 2,2013,1
001000111000111000010,Mount &amp; Blade: Warband,2013,1
00284702,Garry's Mod,2014,1
00454211432342,Team Fortress 2,2016,1
00690069006900,Trove,2016,1
00810cccyyykkk,Team Fortress 2,2013,1
0099654321891111,Halo: Spartan Assault,2014,1
00True,Counter-Strike: Global Offensive,2014,1
00True,DayZ,2014,1
01001000-01101001,Risk of Rain,2014,1
01001000-01101001,Team Fortress 2,2014,1
01001000-01101001,The Long Dark,2014,1
01001000-01101001,XCOM® 2,2016,1
011011010111001000101110,BattleBlock Theater®,2015,1
011111135489484797,Counter-Strike: Source,2013,1
011111135489484797,Left 4 Dead 2,2013,1
01189958889189157253,Garry's Mod,2013,1
01189958889189157253,Titan Souls,2016,1
01221733,RaceRoom Racing Experience,2015,1
0132489,No More Room in Hell,2014,1
0136849195,Geometry Dash,2016,1
01shan,Team Fortress 2,2015,1
022899,Sid Meier's Civilization® V,2013,1
022899,Starbound,2013,1
022899,Team Fortress 2,2012,1
03092002,Team Fortress 2,2013,1
04061993,Assassin’s Creed® III,2013,1
04061993,Counter-Strike: Global Offensive,2013,1
04061993,Left 4 Dead 2,2015,1
04092013,Velvet Assassin,2016,1
042153100,DayZ,2014,1
04280122,PlanetSide 2,2013,1
0432-026-no,Portal 2,2014,1
0445233,Team Fortress 2,2014,1
0468313256,Team Fortress 2,2014,1
05041129,Counter-Strike: Global Offensive,2015,2
05041129,Halo: Spartan Assault,2015,2
05461025,Unturned,2015,1
0700464574757,Saints Row: Gat out of Hell,2015,1
07824,ACE - Arena: Cyber Evolution,2014,1
