Item_Id,Title,Recommend
643980,Ironbound,"['QUAKE', 'QUAKE II', 'Half-Life', 'Wolfenstein 3D', 'Heretic: Shadow of the Serpent Riders']"
772540,Battle Royale Trainer,"['Half-Life: Opposing Force', 'Half-Life Deathmatch: Source', 'QUAKE Mission Pack 2: Dissolution of Eternity', 'QUAKE Mission Pack 1: Scourge of Armagon', 'TimeShift™']"
768880,Beach Rules,"['Savage Lands', 'MechWarrior Online™', 'Steel Ocean', 'Arma 3 Apex', 'S.T.A.L.K.E.R.: Shadow of Chernobyl']"
773650,The first thrust of God,"['Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Serious Sam HD: The First Encounter', 'Serious Sam HD: The Second Encounter', 'Serious Sam 2', 'Verdun']"
773690,The first thrust of God - All Aircrafts,"['SiN Episodes: Emergence', ""Mirror's Edge™"", 'Half-Life: Blue Shift', 'Half-Life 2: Episode One', 'Deathmatch Classic']"
282010,Carmageddon Max Pack,"['Left 4 Dead 2', 'S.K.I.L.L. - Special Force 2 (Shooter)', 'Call of Duty®: Modern Warfare® 2', 'Warface', 'sZone-Online']"
70,Half-Life,"['Left 4 Dead', 'Contagion', 'Killing Floor 2', 'Killing Floor', 'A.V.A. Alliance of Valiant Arms™']"
520680,Lost Cities,"['The Lord of the Rings Online™', 'CroNix', 'Earth Defense Force: Insect Armageddon', 'DC Universe™ Online', 'Lost Planet® 2']"
690410,Twisted Enhanced Edition,"['Insurgency', 'Arma 3', 'Call of Duty®: Ghosts', 'Interstellar Marines', ""Tom Clancy's Rainbow Six® Siege""]"
1640,Disciples II: Gallean's Return,"['Multiwinia', 'Win That War!', 'Total Annihilation', 'Flesh Eaters', 'Earth 2160']"
1630,Disciples II: Rise of the Elves,"['Grand Theft Auto', 'Comanche 4', 'Shinobi™ III: Return of the Ninja Master', 'VectorMan™', 'Ristar™']"
2400,The Ship: Murder Party,"['Warhammer® 40,000: Dawn of War® – Winter Assault', 'Company of Heroes: Tales of Valor', ""Tom Clancy's EndWar™"", 'Supreme Commander 2', 'Victory At Sea']"
381620,Life of Rome,"['Multiwinia', 'Win That War!', 'Total Annihilation', 'Flesh Eaters', 'Earth 2160']"
659780,Darkness and a Crowd,"[""Disciples II: Gallean's Return"", 'X-COM: Apocalypse', 'Heroes of Might &amp; Magic V', ""King's Bounty: The Legend"", 'Fallout Tactics: Brotherhood of Steel']"
753110,Chronicles of Vinland,"[""Disciples II: Gallean's Return"", 'X-COM: Apocalypse', 'Heroes of Might &amp; Magic V', ""King's Bounty: The Legend"", 'Fallout Tactics: Brotherhood of Steel']"
1520,DEFCON,"['Jade Empire™: Special Edition', 'ArcaniA', 'Mars: War Logs', 'Lords Of The Fallen™', 'DARK SOULS™ II Crown of the Sunken King']"
2420,The Ship: Single Player,"['Deus Ex: Game of the Year Edition', 'Deus Ex: Invisible War', 'Metro 2033 Redux', 'Call of Juarez™', 'Judge Dredd: Dredd vs. Death']"
4000,Garry's Mod,"['Unreal Tournament 3 Black', 'Unreal Tournament: Game of the Year Edition', 'Quake IV', 'QUAKE', 'QUAKE II']"
6200,Ghost Master®,"['DOOM II', 'Master Levels for Doom II', 'Counter-Strike Nexon: Zombies', 'Return to Castle Wolfenstein', 'Blood: One Unit Whole Blood']"
6210,Vegas: Make It Big™,"['Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II', 'Counter-Strike Nexon: Zombies', 'Return to Castle Wolfenstein']"
6300,Dreamfall: The Longest Journey,"['QUAKE II', 'Aliens versus Predator Classic 2000', 'Quake III Arena', 'Unreal Tournament 3 Black', 'Unreal Tournament: Game of the Year Edition']"
2990,FlatOut 2™,"['QUAKE II', 'Aliens versus Predator Classic 2000', 'Quake III Arena', 'Unreal Tournament 3 Black', 'Unreal Tournament: Game of the Year Edition']"
6220,FlatOut,"['QUAKE II Mission Pack: Ground Zero', 'HeXen: Deathkings of the Dark Citadel', 'Delta Force', 'Delta Force: Black Hawk Down', 'Daikatana']"
6510,Lost Planet™: Extreme Condition,"['QUAKE II Mission Pack: Ground Zero', 'HeXen: Deathkings of the Dark Citadel', 'Delta Force', 'Delta Force: Black Hawk Down', 'Daikatana']"
1700,Arx Fatalis,"['Spear of Destiny', 'The Apogee Throwback Pack', 'NAM', 'SECTOR', 'Half-Life']"
6310,The Longest Journey,"['QUAKE II Mission Pack: Ground Zero', 'HeXen: Deathkings of the Dark Citadel', 'Delta Force', 'Delta Force: Black Hawk Down', 'Daikatana']"
3990,Civilization IV®: Warlords,"['Wolfenstein 3D', 'Heretic: Shadow of the Serpent Riders', 'HeXen II', 'STAR WARS™ - Dark Forces', 'Eradicator']"
7610,Railroad Tycoon 3,"['Hello Neighbor', 'Crysis 2 - Maximum Edition', 'Only If', 'The Ship: Remasted', 'Dishonored']"
7600,Sid Meier's Railroads!,"['Project: Snowblind', 'Conflict: Denied Ops', 'Call of Duty®: Modern Warfare® 2 Stimulus Package', 'Exodus from the Earth', 'Smashball']"
7620,Railroad Tycoon II Platinum,"['Serious Sam Classics: Revolution', 'Shadow Warrior', 'Shadow Warrior 2', 'Painkiller Overdose', 'Age of Chivalry']"
2540,RIP - Trilogy™,"['Serious Sam Double D XXL', 'Shadowgrounds Survivor', 'Alien Shooter 2: Reloaded', 'Shank 2', 'Sideway™ New York']"
7650,X-COM: Terror From the Deep,"['Feeding Frenzy 2 Deluxe', 'Heavy Weapon Deluxe', 'Trackmania United Forever Star Edition', 'Reaxxion', 'Need for Speed Undercover']"
8000,Tomb Raider: Anniversary,"['Space Trader: Merchant Marine', 'Strike Vector', 'CONSORTIUM', 'Call of Duty®: Infinite Warfare', 'Angels Fall First']"
6550,Devil May Cry® 3 Special Edition,"['Deus Ex: Game of the Year Edition', 'Deus Ex: Invisible War', 'Thief: Deadly Shadows', 'BioShock™', 'Thief™ II: The Metal Age']"
8200,Sam &amp; Max 101: Culture Shock,"['Grand Theft Auto IV: Complete Edition', 'BloodRayne 2', 'Just Cause', 'Rune Classic', 'Sleeping Dogs: Definitive Edition']"
2290,Final DOOM,"['Call of Duty® 2', 'Half-Life: Source', 'Half-Life 2: Episode Two', 'Call of Duty: United Offensive', 'Medal of Honor: Airborne']"
2280,Ultimate Doom,"['Evil Genius', 'RollerCoaster Tycoon® 2: Triple Thrill Pack', 'SimCity™ 4 Deluxe Edition', 'Tropico Reloaded', 'RollerCoaster Tycoon®: Deluxe']"
9160,Master Levels for Doom II,"['Act of War: Direct Action', 'Heroes of Annihilated Empires', 'Joint Task Force', 'Battlestations Pacific', 'Act of War: High Treason']"
2300,DOOM II,"['X-COM: Interceptor', 'Star Raiders', 'Aces of the Galaxy™', 'Starscape', 'STAR WARS™ Starfighter™']"
2270,Wolfenstein 3D,"[""Tom Clancy's Ghost Recon® Desert Siege™"", ""Tom Clancy's Ghost Recon® Island Thunder™"", ""Tom Clancy's Rainbow Six Lockdown™"", 'Brothers in Arms: Earned in Blood™', 'Epsilon']"
9010,Return to Castle Wolfenstein,"['X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier', 'X: Tension', 'Evochron Mercenary']"
9040,QUAKE Mission Pack 1: Scourge of Armagon,"['X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier', 'X: Tension', 'Evochron Mercenary']"
9000,Spear of Destiny,"['X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier', 'X: Tension', 'Evochron Mercenary']"
3810,BloodRayne,"['X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier', 'X: Tension', 'Evochron Mercenary']"
9030,QUAKE Mission Pack 2: Dissolution of Eternity,"['X3: Reunion', 'X3: Terran Conflict', 'X: Beyond the Frontier', 'X: Tension', 'Evochron Mercenary']"
2310,QUAKE,"['Drifter', 'Evochron Legacy', 'Endless Sky', 'SPORE™ Galactic Adventures', 'Universe Sandbox']"
3230,Genesis Rising,"['Tennis in the Face', 'Peggle Deluxe', 'Armed and Dangerous®', 'FlatOut', 'FlatOut: Ultimate Carnage']"
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault","['Deus Ex: Game of the Year Edition', 'Deus Ex: Invisible War', 'Crysis', 'Thief™ II: The Metal Age', 'Deathmatch Classic']"
7670,BioShock™,"['Cossacks: Art of War', 'Cossacks: European Wars', 'Cossacks II: Battle for Europe', 'Grand Ages: Rome', 'Total War: SHOGUN 2 - Rise of the Samurai Campaign']"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['UFO: Extraterrestrials Gold', 'Jagged Alliance - Back in Action', 'Blood Bowl® Legendary Edition', 'Pox Nora', 'Leviathan: Warships']"
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Galcon Fusion', 'Star Ruler', 'StarDrive', 'Etherium', 'Ancient Space']"
4760,Rome: Total War™ - Collection,"['1953 - KGB Unleashed', 'The Labyrinth of Time', 'Rhiannon: Curse of the Four Branches', 'Amerzone: The Explorer’s Legacy', 'Déjà Vu II: MacVenture Series']"
4770,Rome: Total War™ - Alexander,"['Age of Chivalry', 'Singularity™', 'Bloody Good Time', 'Judge Dredd: Dredd vs. Death', 'BioShock Infinite']"
50970,Mystery Case Files: Madame Fate®,"['Blade Kitten', 'The Sims™ 3 Pets', 'Triple Town', ""Fly'N"", 'Croixleur Sigma']"
12170,Grand Theft Auto,"['Machinarium', 'Lumino City', 'Full Throttle Remastered', 'Inherit the Earth: Quest for the Orb', 'Dropsy']"
12180,Grand Theft Auto 2,"['Feeding Frenzy 2 Deluxe', 'Heavy Weapon Deluxe', 'Trackmania United Forever Star Edition', 'Reaxxion', 'Need for Speed Undercover']"
12130,Manhunt,"['Feeding Frenzy 2 Deluxe', 'Heavy Weapon Deluxe', 'Trackmania United Forever Star Edition', 'Reaxxion', 'Need for Speed Undercover']"
12160,Midnight Club 2,"['FlatOut: Ultimate Carnage', 'Super Splatters', 'The Basement Collection', 'Urban Trial Freestyle', 'Crashed Lander Demo']"
12150,Max Payne 2: The Fall of Max Payne,"['Amazing Adventures The Lost Tomb™', 'Mystery P.I.™ - The Vegas Heist', 'Amazing Adventures Around the World', 'Mystery P.I.™ - The New York Fortune', ""The Wizard's Pen™""]"
7000,Tomb Raider: Legend,"['Amazing Adventures The Lost Tomb™', 'Mystery P.I.™ - The Vegas Heist', 'Amazing Adventures Around the World', 'Mystery P.I.™ - The New York Fortune', ""The Wizard's Pen™""]"
12140,Max Payne,"['Amazing Adventures The Lost Tomb™', 'Mystery P.I.™ - The Vegas Heist', 'Amazing Adventures Around the World', 'Mystery P.I.™ - The New York Fortune', ""The Wizard's Pen™""]"
17480,Command &amp; Conquer: Red Alert 3,"['Amazing Adventures The Lost Tomb™', 'Mystery P.I.™ - The Vegas Heist', 'Amazing Adventures Around the World', 'Mystery P.I.™ - The New York Fortune', ""The Wizard's Pen™""]"
12310,Culpa Innata,"['Amazing Adventures The Lost Tomb™', 'Mystery P.I.™ - The Vegas Heist', 'Amazing Adventures Around the World', 'Mystery P.I.™ - The New York Fortune', ""The Wizard's Pen™""]"
8100,Conflict: Denied Ops,"['Death to Spies', 'Prince of Persia: The Two Thrones™', ""Tom Clancy's Splinter Cell®"", 'Blood Omen 2: Legacy of Kain', ""Marc Eckō's Getting Up: Contents Under Pressure""]"
2780,ARMA: Combat Operations,"['Quake III Arena', 'Unreal Tournament 3 Black', 'Unreal Tournament: Game of the Year Edition', 'F.E.A.R. 2: Project Origin', 'Kingpin — Life of Crime']"
9730,Tycoon City: New York,"['Tropico 4', 'War for the Overworld', 'RollerCoaster Tycoon® 3: Platinum', 'Prison Architect', 'Startopia']"
9710,Desperados 2: Cooper's Revenge,"['QUAKE', 'QUAKE II', 'Return to Castle Wolfenstein', 'Quake III Arena', 'Unreal Tournament 3 Black']"
9800,Death to Spies,"['Dark Sector', 'Dungeon Highway', 'BloodRayne 2', 'Rune Classic', 'Chivalry: Deadliest Warrior']"
9760,Act of War: High Treason,"['Rune Classic', 'GUN™', 'Prince of Persia: Warrior Within™', 'BloodRayne', 'Rogue Trooper']"
2700,RollerCoaster Tycoon® 3: Platinum,"['A Hat in Time', 'MDK 2', 'Stacking', 'Fable - The Lost Chapters', 'Bully: Scholarship Edition']"
2710,Act of War: Direct Action,"[""Sid Meier's Civilization® V"", 'Panzer Corps', 'Order of Battle: World War II', 'Order of Battle: Winter War', 'Warbands: Bushido']"
13200,Unreal 2: The Awakening,"[""Sid Meier's Civilization® IV"", ""Sid Meier's Civilization® V"", 'Pride of Nations', 'Rise of Prussia Gold', 'Civil War II']"
13250,Unreal Gold,"['EverQuest® II Free-To-Play. Your Way.™', 'Blood and Gold: Caribbean!', 'Stronghold 3 Gold', 'Darklands', 'Commander: Conquest of the Americas']"
13560,Tom Clancy's Splinter Cell®,"['Civilization IV: Beyond the Sword', ""Sid Meier's Civilization IV: Colonization"", 'Unity of Command: Stalingrad Campaign', ""Sid Meier's Civilization V: Brave New World"", 'Sid Meier’s Ace Patrol']"
13520,Far Cry®,"['Gotham City Impostors Free to Play', 'Block N Load', ""Who's Your Daddy"", 'Thinking with Time Machine', 'Rust']"
13240,Unreal Tournament: Game of the Year Edition,"['Obulis', 'Crazy Machines 2', 'Crazy Machines', 'Crazy Machines 1.5', 'Osmos']"
13540,Tom Clancy's Rainbow Six® Vegas,"['Silverfall: Earth Awakening', 'Hinterland', 'Depths of Peril', 'Greed: Black Border', 'Avencast: Rise of the Mage']"
15210,Silent Hunter® III,"['Silverfall: Earth Awakening', 'Hinterland', 'Depths of Peril', 'Greed: Black Border', 'Avencast: Rise of the Mage']"
3520,Mystery P.I.™ - The Vegas Heist,"[""Desperados 2: Cooper's Revenge"", 'The Sum of All Fears', 'Jagged Alliance: Crossfire', 'Aarklash: Legacy', 'Call of Duty®: Black Ops II - Kawaii Personalization Pack']"
15950,Reaxxion,"['Codename: Panzers - Cold War', 'Act of Aggression - Reboot Edition', 'Warhammer® 40,000: Dawn of War® - Dark Crusade', 'Nexus - The Jupiter Incident', 'Commandos: Behind Enemy Lines']"
15160,Petz® Horsez® 2,"['Medieval II: Total War™ Kingdoms', 'Total War: ROME II - Greek States Culture Pack', 'Napoleon: Total War™', 'Total War: SHOGUN 2', 'Total War: ROME II - Hannibal at the Gates Campaign Pack']"
15080,Rayman Raving Rabbids™,"['Act of War: Direct Action', 'Heroes of Annihilated Empires', 'Joint Task Force', 'Battlestations Pacific', 'Act of War: High Treason']"
15320,IL-2 Sturmovik: 1946,"['Cossacks: Art of War', 'Cossacks: European Wars', 'Cossacks II: Battle for Europe', 'Grand Ages: Rome', 'Total War: SHOGUN 2 - Rise of the Samurai Campaign']"
8310,Bone: Out From Boneville,"['Cossacks: Art of War', 'Cossacks: European Wars', 'Cossacks II: Battle for Europe', 'Grand Ages: Rome', 'Total War: SHOGUN 2 - Rise of the Samurai Campaign']"
8320,Bone: The Great Cow Race,"['Star Wars: Battlefront 2 (Classic, 2005)', 'Angels Fall First', 'BioShock™ Remastered', 'Counter-Strike: Condition Zero', 'Day of Defeat']"
12560,Ride! Carnival Tycoon,"['Star Wars: Battlefront 2 (Classic, 2005)', 'STAR WARS™ Jedi Knight: Dark Forces II', 'STAR WARS™ Jedi Knight - Jedi Academy™', 'STAR WARS™ Jedi Knight - Mysteries of the Sith™', 'System Shock 2']"
11050,Dracula Origin,"['Vegas: Make It Big™', 'Tycoon City: New York', 'Hospital Tycoon', 'Ride! Carnival Tycoon', 'Plant Tycoon']"
11040,Sherlock Holmes - Nemesis,"['Shank 2', 'Hell Yeah! Wrath of the Dead Rabbit', 'Brothers - A Tale of Two Sons', ""Stick 'Em Up 2: Paper Adventures"", 'Shadowgrounds']"
19200,Tank Universal,"['Crazy Taxi', ""THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION"", 'THE KING OF FIGHTERS 2002 UNLIMITED MATCH', 'Pro Pinball Ultra', 'Sparkle 2']"
12360,FlatOut: Ultimate Carnage,"['Total War: ROME II - Beasts of War Unit Pack', 'Commander: The Great War', 'Total War: ATTILA - Viking Forefathers Culture Pack', 'Total War: ATTILA - Age of Charlemagne Campaign Pack', 'Strategy &amp; Tactics: Dark Ages']"
15710,Oddworld: Abe's Exoddus®,"['Lost Planet™: Extreme Condition', 'Drakensang', 'Rise of the Argonauts', 'Damnation', 'Bionic Commando']"
